address_ss58,airdrop_amount,total_dot,snapshot_dot,nompool_dot,crowdloan_dot,num_criteria,criteria1,criteria11,criteria12,criteria2,criteria3,criteria4,criteria5,criteria6
1ChFWeNRLarAPRCTM3bfJmncJbSAbSS9yqjueWz7jX7iTVZ,284,10356.792506627498,10270.3812247869,6.4112818406,80,5,1,0,0,1,1,1,1,0
15tRFDzDdwyKtZrAWj4CjiUWsb2WN2ksbjoFpxutGz4ABb1n,284,8537.047847681599,10.0301344406,7060.467713241,1466.55,5,1,0,0,1,1,1,1,0
14jDAbUu6fj9cxG4ciGcmtDGa2PMyPKMSEuax8jrsB67cuXt,284,783762.0569875585,783762.0569875585,0,0,5,1,0,0,1,1,1,1,0
12ebDgrRppibpPdV3UDk2kMLjwBXxdbRkpn8TbHc4LHbe2RV,284,378258.3743343948,378257.3743343948,1,0,5,1,0,0,1,1,1,1,0
15gFbA57YAf8JXBL2EJSrmAJtAF34WtDnh2ucdmTCR4UfexV,284,5446.4032033689,301.6310924735,5144.7721108954,0,5,1,0,0,1,1,1,1,0
13mgf7fcn9nUSPN6Tnw96rj2QLiot6AAssyMwzM5BzgujwBM,284,18038.3686151593,18038.3686151593,0,0,5,1,0,0,1,1,1,1,0
12vEBempmEC6BmgJ4r7ySyA8XNgeMMPHpSpqsumN7QS8nXrX,284,7411.9996929751,7411.9996929751,0,0,5,1,0,0,1,1,1,1,0
126PvMw34oFYv5miwXQ3JXVP5eav8T1hkkYsiHijExJ4JorP,277,9245.0012719801,151.0012719801,0,9094,3,0,0,0,0,0,1,1,1
13DbjCben1sTMXyrKaosj7QSbSBfAx2C95TYNdcfRpiqYKxF,266,5011.4768247962,5011.4768247962,0,0,4,1,0,0,1,1,1,0,0
13dKEY6zDazKA1Ew7jjsEMUwy5Nt2bnh2S5UagMrcnfkPSPZ,266,126604.732051087,126604.732051087,0,0,4,1,0,0,1,1,1,0,0
14BRaQT6JV6tCPPH1shiNJ4PF1e1sRet8errHcjNyYeH36wK,266,16342.2090380651,16342.2090380651,0,0,4,1,0,0,1,1,1,0,0
